,Название,ИНН,Адрес,ОКВЭД,Деятельность
0,"АССОЦИАЦИЯ ""ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ""",7709472937,Г.МОСКВА,58,Деятельность издательская
1,"ООО ""ЛТЛЗ""",7709460949,Г.Москва,24.51,Литье чугуна
2,СОЮЗ НЕЗАВИСИМЫХ СЕТЕЙ,7709440004,Г.МОСКВА,73.20.2,Деятельность по изучению общественного мнения
3,"ООО ""ОНТАРО""",7709427606,Московская область,64.99,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
4,"ООО ""ЭЛ.АЙ.СИ""",7709126574,Г.Москва,69.20.1,Деятельность по проведению финансового аудита
5,"ООО ""АПК ""МИХАЙЛОВСКИЙ""",7718548798,Г.Москва,64.20,Деятельность холдинговых компаний
6,"ООО ""ТД ЧЕРКИЗОВО""",5032046575,Московская область,46.32.1,"Торговля оптовая мясом и мясом птицы, включая субпродукты"
7,"АО ""РЖД УПРАВЛЕНИЕ АКТИВАМИ""",7708182801,Г.МОСКВА,64.20,Деятельность холдинговых компаний
8,"ООО ""СОЛАР-ПТ""",9705144745,Г.МОСКВА,62.02,Деятельность консультативная и работы в области компьютерных технологий
9,"ООО ""СОЛАР СЕКЬЮРИТИ""",7718099790,Г.Москва,62.01,Разработка компьютерного программного обеспечения
10,"АО ""ГАЗПРОМНЕФТЬ-ННГ""",8905000428,ЯМАЛО-НЕНЕЦКИЙ АВТОНОМНЫЙ ОКРУГ,06.10.1,Добыча сырой нефти
11,"АО ""СБЕРБАНК ЛИЗИНГ""",7707009586,МОСКОВСКАЯ ОБЛАСТЬ,64.91,Деятельность по финансовой аренде (лизингу/сублизингу)
12,"ООО ""ГАРАНТ СЕРВИС""",8905065312,Г.САНКТ-ПЕТЕРБУРГ,09.10,Предоставление услуг в области добычи нефти и природного газа
13,"ПАО ""ГАЗПРОМ НЕФТЬ""",5504036333,Г.САНКТ-ПЕТЕРБУРГ,46.71,"Торговля оптовая твердым, жидким и газообразным топливом и подобными продуктами"
14,"ООО ""ЛУКОЙЛ-ЗАПАДНАЯ СИБИРЬ""",8608048498,ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА,06.10.1,Добыча сырой нефти
15,"ЗПИФ долгосрочных прямых инвестиций """"Форсайт плюс""",7707525541,Г.Москва,64.99.1,Вложения в ценные бумаги
16,"АО ""НПФ ""БЛАГОСОСТОЯНИЕ""",7707424367,Г.МОСКВА,65.30,Деятельность негосударственных пенсионных фондов
17,АССОЦИАЦИЯ БОЛЬШИХ ДАННЫХ,7707421454,Г.МОСКВА,94.12,Деятельность профессиональных членских организаций
18,"ООО ""НОВО-ТРУДОВОЙ""",7707394458,Г.МОСКВА,06.10.1,Добыча сырой нефти
19,"ООО ""ХОРТИЦА""",7801413595,Г.МОСКВА,06.10.1,Добыча сырой нефти
20,"ООО ""ИТМО ВЕНЧУР ПАРТНЕРС""",7801203750,Г.САНКТ-ПЕТЕРБУРГ,72.19,Научные исследования и разработки в области естественных и технических наук прочие
21,"ФГУП ""НИИФООЛИОС ВНЦ ""ГОИ ИМ. С.И. ВАВИЛОВА""",7801031476,САНКТ-ПЕТЕРБУРГ ГОРОД,72.19,Научные исследования и разработки в области естественных и технических наук прочие
22,"ООО ""ЛИТЭКО""",7751218998,Г.МОСКВА,72.19,Научные исследования и разработки в области естественных и технических наук прочие
23,"АО ""АКВАЛАЙФ РЕСУРС""",7751010710,Г.Москва,69.10,Деятельность в области права
24,"ООО ""АЛЬБИОН-2002""",5257056036,НИЖЕГОРОДСКАЯ ОБЛАСТЬ,47.25.1,"Торговля розничная алкогольными напитками, включая пиво, в специализированных магазинах"
25,"ТОСП ""Ч001 Москва Долгопрудная"" ООО ""СЛАДКАЯ ЖИЗНЬ Н.Н.""",5257041777,НИЖЕГОРОДСКАЯ ОБЛАСТЬ,47.2,"Торговля розничная пищевыми продуктами, напитками и табачными изделиями в специализированных магазинах"
26,"АО ""АТОМ-ТОР""",5254491182,Г.Москва,70.10.2,Деятельность по управлению холдинг-компаниями
27,"ООО ""БИАКСПЛЕН""",5244013331,НИЖЕГОРОДСКАЯ ОБЛАСТЬ,22.21,"Производство пластмассовых плит, полос, труб и профилей"
28,"АО ""АЭРОПОРТ МУРМАНСК""",5105040715,МУРМАНСКАЯ ОБЛАСТЬ,52.23.11,Деятельность аэропортовая
29,"ООО ""ЗАПОЛЯРЬЕНЕФТЕГАЗ""",2457089844,КРАСНОЯРСКИЙ КРАЙ,06.20,Добыча природного газа и газового конденсата
30,"АО ""КОРПОРАЦИЯ РАЗВИТИЯ""",6671199917,Свердловская область,70.10.2,Деятельность по управлению холдинг-компаниями
31,"ООО ""ГАЗПРОМ ЭНЕРГО""",7736186950,Г.МОСКВА,35.12.1,Передача электроэнергии
32,"ООО""ГАЗПРОМ ЦЕНТРРЕМОНТ""",5050073540,МОСКОВСКАЯ ОБЛАСТЬ,70.10.1,Деятельность по управлению финансово-промышленными группами
33,"ООО ""ЗОЛОТОВСКОЕ""",6132007148,Ростовская область,68.20,Аренда и управление собственным или арендованным недвижимым имуществом
34,"ООО ""УТИНЫЙ ОСТРОВ""",6128003983,РОСТОВСКАЯ ОБЛАСТЬ,93.19,Деятельность в области спорта прочая
35,"ООО ""АГРОКОМПЛЕКС РОСТОВСКИЙ""",6123016298,РОСТОВСКАЯ ОБЛАСТЬ,01.11.1,Выращивание зерновых культур
36,"ООО ""АПК ""21 ВЕК""",6101034399,Ростовская область,01.1,Выращивание однолетних культур
37,"ОАО ""СМЗ""",5919470019,Пермский край,20.13,Производство прочих основных неорганических химических веществ
38,"АО ""ЦЕНТРИНФОРМ""",7841051711,Г.САНКТ-ПЕТЕРБУРГ,62.03.13,Деятельность по сопровождению компьютерных систем
39,"АО ""СПБМТСБ""",7840389730,Г.САНКТ-ПЕТЕРБУРГ,66.11.2,"Управление и контроль за деятельностью фондовых, товарных, валютных и валютнофондовых бирж"
40,"ООО ""РОСТЕЛЕКОМ - РОЗНИЧНЫЕ СИСТЕМЫ""",7840306212,Г.МОСКВА,63.11,"Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность"
41,"ООО ""ИЗДАТЕЛЬСТВО НТИ ""СУДОСТРОЕНИЕ""",7840061259,Г.САНКТ-ПЕТЕРБУРГ,58.11,Издание книг
42,"ПАО ""ГРУППА ЛСР""",7838360491,Г.САНКТ-ПЕТЕРБУРГ,64.20,Деятельность холдинговых компаний
43,"АО ""ТРК ""НОВЫЙ ВЕК""",1653021456,РЕСПУБЛИКА ТАТАРСТАН (ТАТАРСТАН),60.20,Деятельность в области телевизионного вещания
44,"АО ""ТНХИ-Х""",1653010285,Республика Татарстан (Татарстан),64.20,Деятельность холдинговых компаний
45,"АО ""СОВ - НКНХ""",1651052730,Республика Татарстан (Татарстан),36.00.1,Забор и очистка воды для питьевых и промышленных нужд
46,"ООО ""ГАЗПРОМ ГНП ПРОДАЖИ""",1515919573,Г.Санкт-Петербург,46.71.2,"Торговля оптовая моторным топливом, включая авиационный бензин"
47,"ЗПИФ недвижимости ""Квадратный метр""",5029144685,Республика Башкортостан,66.30,Деятельность по управлению фондами
48,"АО ""ММЗ""",5029126076,Московская область,30.40,Производство военных боевых машин
49,"ООО ""ИНВЕСТ-ОЙЛ""",5029065916,МОСКВА ГОРОД,64.99.1,Вложения в ценные бумаги
50,"ООО ""КОМПАНИЯ ПОЛЯРНОЕ СИЯНИЕ""",8300120014,МОСКОВСКАЯ ОБЛАСТЬ,06.10.1,Добыча сырой нефти
51,"ООО ""ЕДИНЫЙ МИГРАЦИОННЫЙ ЦЕНТР""",7842421041,Г.САНКТ-ПЕТЕРБУРГ,78.30,Деятельность по подбору персонала прочая
52,"ООО ""ЕДИНЫЙ МЕДИЦИНСКИЙ ЦЕНТР""",7842416531,Г.Санкт-Петербург,86.21,Общая врачебная практика
53,"ООО ""СКФ АРКТИКА""",7841443821,Г.САНКТ-ПЕТЕРБУРГ,70.10.2,Деятельность по управлению холдинг-компаниями
54,"ООО ""ХОЛДИНГ МСС""",7841086979,Г.Санкт-Петербург,64.20,Деятельность холдинговых компаний
55,"ООО ""СБФ""",7801730315,Г.САНКТ-ПЕТЕРБУРГ,72.19,Научные исследования и разработки в области естественных и технических наук прочие
56,УНИВЕРСИТЕТ ИТМО; НИУ ИТМО; ИТМО,7813045547,Г.САНКТ-ПЕТЕРБУРГ,85.22,Образование высшее
57,"ООО ""УК ""ЧЕРНОГОЛОВКА""",5031126323,МОСКОВСКАЯ ОБЛАСТЬ,82.11,Деятельность административно-хозяйственная комплексная по обеспечению работы организации
58,"ООО ""ГАЗПРОМ УПРАВЛЕНИЕ АКТИВАМИ КСН""",7813655951,Г.Санкт-Петербург,68.20,Аренда и управление собственным или арендованным недвижимым имуществом
59,"ООО ""ОНИКС""",7728522943,МОСКВА ГОРОД,64.99.3,"Капиталовложения в уставные капиталы, венчурное инвестирование, в том числе посредством инвестиционных компаний"
60,"АО ""ПЕРЕСЛАВЛЬ-ТАБАК""",6163133897,РОСТОВСКАЯ ОБЛАСТЬ,68.20,Аренда и управление собственным или арендованным недвижимым имуществом
61,"ООО ""АГРО-ЭКСПЕРТ""",6163129234,РОСТОВСКАЯ ОБЛАСТЬ,70.10.1,Деятельность по управлению финансово-промышленными группами
62,"ООО ""МТ""",6163125423,РОСТОВСКАЯ ОБЛАСТЬ,85.41.1,Образование в области спорта и отдыха
63,"ООО ""НОВЫЕ ТЕХНОЛОГИИ""",6163086140,РОСТОВСКАЯ ОБЛАСТЬ,46.36.1,Торговля оптовая сахаром
64,"ООО ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ПОКРОВСКИЙ""",6163085146,РОСТОВСКАЯ ОБЛАСТЬ,68.32.1,Управление эксплуатацией жилого фонда за вознаграждение или на договорной основе
65,"ООО ""СМ МЕНЕДЖМЕНТ""",9713003586,Г.МОСКВА,59.11,"Производство кинофильмов, видеофильмов и телевизионных программ"
66,"ООО ""СФО ""ФИНАНСОВЫЕ СТРАТЕГИИ""",9710086778,Г.Москва,64.99,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
67,"ООО ""УК ""САТУРН""",9709074440,Г.Москва,68.1,Покупка и продажа собственного недвижимого имущества
68,"ООО ""СИНАРА-ГТР ТАГАНРОГ""",9709067611,Ростовская область,49.31,Деятельность сухопутного пассажирского транспорта: внутригородские и пригородные перевозки пассажиров
69,"ООО ""ЦИФРОВАЯ ЖАЖДА""",9709036130,Г.Москва,62.01,Разработка компьютерного программного обеспечения
70,"ООО ""НОВАТЭК-УСТЬ-ЛУГА""",4707026057,ЛЕНИНГРАДСКАЯ ОБЛАСТЬ,19.2,Производство нефтепродуктов
71,"АО ""УСТЬ-ЛУГА ОЙЛ""",4707013516,КИНГИСЕППСКИЙ,52.24,Транспортная обработка грузов
72,"ООО ""СОРОК ПЕРВАЯ КОНЦЕССИОННАЯ КОМПАНИЯ""",4705088481,ЛЕНИНГРАДСКАЯ ОБЛАСТЬ,41.2,Строительство жилых и нежилых зданий
73,"ООО ""ДЕСЯТАЯ КОНЦЕССИОННАЯ КОМПАНИЯ""",4705075820,КАЛИНИНГРАДСКАЯ ОБЛАСТЬ,42.13,Строительство мостов и тоннелей
74,"ООО ""СЗЦТТ""",4705059882,Ленинградская область,64.9,"Деятельность по предоставлению прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению"
75,"ООО ""ТПУ ""КРАСНЫЙ СТРОИТЕЛЬ""",9701041266,МОСКВА ГОРОД,71.11.1,"Деятельность в области архитектуры, связанная с созданием архитектурного объекта"
76,"ООО ""ЮГАНСКИЙ 21""",9701027127,Г.МОСКВА,71.12.3,"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
77,"ООО ""ТПУ ""ХОДЫНСКОЕ ПОЛЕ""",9701021781,МОСКВА ГОРОД,71.11.1,"Деятельность в области архитектуры, связанная с созданием архитектурного объекта"
78,"ООО ""АБАЗАРОВСКОЕ""",9701020989,Г.МОСКВА,71.12.3,"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
79,"АО ""СЗ""",9106001900,Республика Крым,20.13,Производство прочих основных неорганических химических веществ
80,"АО ""АБ ""РОССИЯ""",7831000122,Г.САНКТ-ПЕТЕРБУРГ,64.19,Денежное посредничество прочее
81,"ООО ""АР СИ БРЮ""",5406601315,Новосибирская область,11.05,Производство пива
82,"ООО ""СДЕЛАЙ СВОИМИ РУКАМИ СЕВЕРО-ЗАПАД""",7802354624,Г.Санкт-Петербург,47.52,"Торговля розничная скобяными изделиями, лакокрасочными материалами и стеклом в специализированных магазинах"
83,"АО ""РОСЭЛЕКТРОНИКА""",7710277994,Г.МОСКВА,70.10.1,Деятельность по управлению финансово-промышленными группами
84,"ООО ""АИК-ИНВЕСТ""",7751246522,Г.МОСКВА,70.10,Деятельность головных офисов
85,"ООО ""ЮГАНСКИЙ 16""",7718289568,Г.МОСКВА,71.12.3,"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
86,"ООО ""СЕВЕРО-МОЛОДЁЖНОЕ""",7718285161,Г.МОСКВА,71.12.3,"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
87,"ООО ""МОЛОДЁЖНОЕ""",7718285154,Г.МОСКВА,71.12.3,"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
88,"ООО ""ОКТЯБРЬСКОЕ""",7718285073,Г.МОСКВА,71.12.3,"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
89,"ЗПИФ недвижимости ""Азимут""",7718218817,Г.Москва,66.30,Деятельность по управлению фондами
90,"АО ""РЫНОЧНЫЙ КОМПЛЕКС ""ЦАРИЦЫНСКИЙ""",7724561282,Г.Москва,47.8,Торговля розничная в нестационарных торговых объектах и на рынках
91,"АО ""ПОЧТА РОССИИ""",7724490000,Г.МОСКВА,53.10,Деятельность почтовой связи общего пользования
92,"АО ""РУСВЭЛЛГРУП""",7724462362,Г.Москва,09.10,Предоставление услуг в области добычи нефти и природного газа
93,"ООО ""СПЕЦДОРПРОЕКТ""",7724305345,Г.Москва,52.21.22,Деятельность по эксплуатации автомобильных дорог и автомагистралей
94,"АО ""АПТЕКА КАМЕЛИЯ""",7724211305,Г.Москва,68.20.2,Аренда и управление собственным или арендованным нежилым недвижимым имуществом
95,"ООО ""МСП""",7735595558,Г.Москва,26.80,Производство незаписанных магнитных и оптических технических носителей информации
96,"ООО ""МАГАЗИН БУДУЩЕГО""",7751035377,Г.МОСКВА,72.19,Научные исследования и разработки в области естественных и технических наук прочие
97,"АО ""ВКУСВИЛЛ""",7734443270,МОСКОВСКАЯ ОБЛАСТЬ,47.11,"Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах"
98,"МК ""ИНТЕРРОС КАПИТАЛ""",2540265679,ПРИМОРСКИЙ КРАЙ,64.20,Деятельность холдинговых компаний
99,"ООО ""УК ""ЛЕРТА КАПИТАЛ""",3906328893,Г.МОСКВА,66.12.2,Деятельность по управлению ценными бумагами
100,"ООО ""ДОН ЗОЛОТО""",7604330124,Г.МОСКВА,71.12,"Деятельность в области инженерных изысканий, инженерно-технического проектирования, управления проектами строительства, выполнения строительного контроля и авторского надзора, предоставление технических консультаций в этих областях"
101,"ООО ""МОНЧЕГОРСКОЕ""",7604330117,Г.Москва,71.12,"Деятельность в области инженерных изысканий, инженерно-технического проектирования, управления проектами строительства, выполнения строительного контроля и авторского надзора, предоставление технических консультаций в этих областях"
102,"АО ""ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ ЧЕЛЯБИНСК""",7453128989,ЧЕЛЯБИНСКАЯ ОБЛАСТЬ,35.22,Распределение газообразного топлива по газораспределительным сетям
103,"""Нефтебаза (Магнитогорский регион)"" ООО ""ЛУКОЙЛ-Уралнефтепродукт""",7453011758,РЕСПУБЛИКА БАШКОРТОСТАН,47.3,Торговля розничная моторным топливом в специализированных магазинах
104,"ФГУП ""ПО ""МАЯК""",7422000795,ЧЕЛЯБИНСКАЯ ОБЛАСТЬ,20.13,Производство прочих основных неорганических химических веществ
105,"ООО ""САМОЛЕТ-ПРЕДПРОЕКТ-1""",5027302329,Московская область,71.12.2,"Деятельность заказчика-застройщика, генерального подрядчика"
106,"ГАУ СО МО ""КЦСОР""",5017091830,Московская область,87.90,Деятельность по уходу с обеспечением проживания прочая
107,"ФГУП ""НИИПА""",5010007607,МОСКОВСКАЯ ОБЛАСТЬ,72.19,Научные исследования и разработки в области естественных и технических наук прочие
108,"ООО ""СПК УСАДЫ""",5009135192,Московская область,70.10,Деятельность головных офисов
109,"ООО ""ТК ""МИРАТОРГ""",5009072150,МОСКОВСКАЯ ОБЛАСТЬ,46.21,"Торговля оптовая зерном, необработанным табаком, семенами и кормами для сельскохозяйственных животных"
110,"ООО ""БОРЕЙ""",2340011518,КРАСНОДАРСКИЙ КРАЙ,01.1,Выращивание однолетних культур
111,"ООО ""КУРГАНИНСКАГРО""",2339018075,КРАСНОДАРСКИЙ КРАЙ,01.11.1,Выращивание зерновых культур
112,"ООО ""ТЕХСЕРВИС""",2338012377,РОСТОВСКАЯ ОБЛАСТЬ,46.14.9,Деятельность агентов по оптовой торговле прочими видами машин и промышленным оборудованием
113,"ООО ""АЛЬФА""",2338009705,КРАСНОДАРСКИЙ КРАЙ,68.20,Аренда и управление собственным или арендованным недвижимым имуществом
114,"ООО ""УНИВЕРСАЛ""",2338008733,КРАСНОДАРСКИЙ КРАЙ,68.20,Аренда и управление собственным или арендованным недвижимым имуществом
115,"ООО ""СИНАТОМ""",6685170080,Свердловская область,71.12.2,"Деятельность заказчика-застройщика, генерального подрядчика"
116,"ООО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""СИНАРА-ДЕВЕЛОПМЕНТ""",6685040700,СВЕРДЛОВСКАЯ ОБЛАСТЬ,68.10.1,Подготовка к продаже собственного недвижимого имущества
117,"ООО ""КОЛОДКА-КОМПОЗИТ""",6683014092,СВЕРДЛОВСКАЯ ОБЛАСТЬ,23.99,"Производство прочей неметаллической минеральной продукции, не включенной в другие группировки"
118,"ОАО УК ИНДУСТРИАЛЬНОГО ПАРКА ""НОВОУРАЛЬСКИЙ""",6682005169,Свердловская область,68.32,Управление недвижимым имуществом за вознаграждение или на договорной основе
119,"ООО ""ЭЛЕМЕНТ-ТРЕЙД""",6674121179,СВЕРДЛОВСКАЯ ОБЛАСТЬ,47.11.2,"Торговля розничная незамороженными продуктами, включая напитки и табачные изделия, в неспециализированных магазинах"
120,"АО ""УРАНИУМ УАН ГРУП""",7706641432,Г.МОСКВА,64.99.1,Вложения в ценные бумаги
121,"ОАО ""САМАРАГАЗ""",6315223001,САМАРСКАЯ ОБЛАСТЬ,35.22.11,"Распределение природного, сухого (отбензиненного) газа по газораспределительным сетям по тарифам, регулируемым государством"
122,"АО ""ПЗЦМ"", АО ""ПРИОКСКИЙ ЗАВОД ЦВЕТНЫХ МЕТАЛЛОВ""",6226006397,РЯЗАНСКАЯ ОБЛАСТЬ,24.41,Производство драгоценных металлов
123,"ФГУП ""ЗАВОД СИНТЕТИЧЕСКИХ ВОЛОКОН ""ЭЛАСТИК""",6225000890,Рязанская область,25.40,Производство оружия и боеприпасов
124,"ООО ""РЕНТА""",6168912992,РОСТОВСКАЯ ОБЛАСТЬ,68.20.2,Аренда и управление собственным или арендованным нежилым недвижимым имуществом
125,"ООО ""МЕДВЕДЬ-1""",6168047095,РОСТОВСКАЯ ОБЛАСТЬ,68.20.2,Аренда и управление собственным или арендованным нежилым недвижимым имуществом
126,"ФГУП ""ЗАВОД ИМЕНИ МОРОЗОВА""",4703009607,ЛЕНИНГРАДСКАЯ ОБЛАСТЬ,25.40,Производство оружия и боеприпасов
127,"ООО ""АФ ""БЛАГОДАТЕНСКАЯ""",4620009025,Курская область,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур"
128,"АО ""ОУК ""ЮЖКУЗБАССУГОЛЬ""",4216008176,КЕМЕРОВСКАЯ ОБЛАСТЬ - КУЗБАСС,05.10.1,Добыча угля и антрацита
129,"АО ""ТПТУ""",4214001270,Кемеровская область - Кузбасс,49.20,Деятельность железнодорожного транспорта: грузовые перевозки
130,"ПАО ""ЮЖНЫЙ КУЗБАСС""",4214000608,КЕМЕРОВСКАЯ ОБЛАСТЬ - КУЗБАСС,05.10.2,Обогащение угля
131,"ООО ""КАПИТАЛ ЭССЕТ МЕНЕДЖМЕНТ""",7705934845,Г.МОСКВА,64.99.1,Вложения в ценные бумаги
132,"АО ""СОЗИДАНИЕ""",7705903220,Г.МОСКВА,64.99.1,Вложения в ценные бумаги
133,"АО ""МОСКОВСКАЯ АПТЕКА""",7705681721,Г.Москва,64.9,"Деятельность по предоставлению прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению"
134,"ПАО ""МЭСС""",7705654189,Г.Москва,42.21,"Строительство инженерных коммуникаций для водоснабжения и водоотведения, газоснабжения"
135,ФОНД КУЛЬТУРЫ И ЗАЩИТЫ ИНТЕЛЛЕКТУАЛЬНОЙ СОБСТВЕННОСТИ,7705517087,Г.МОСКВА,90.0,"Деятельность творческая, деятельность в области искусства и организации развлечений"
136,"ООО ""РКС-НАХАБИНО""",9731102195,Г.МОСКВА,64.20,Деятельность холдинговых компаний
137,"ООО ""ТАУРОВСКОЕ""",9729156958,Г.МОСКВА,06.10.1,Добыча сырой нефти
138,"ООО ""ЗАПАДНО-ЛАВОЯЖСКИЙ""",9729136422,Г.МОСКВА,71.12.3,"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
139,"ООО ""ПУГАЧЁВСКИЙ""",9729134841,Г.МОСКВА,06.10.1,Добыча сырой нефти
140,"АО ""ГИПРОРУДА""",7810207888,Г.Санкт-Петербург,71.12.12,"Разработка проектов промышленных процессов и производств, относящихся к электротехнике, электронной технике, горному делу, химической технологии, машиностроению, а также в области промышленного строительства, системотехники и техники безопасности"
141,"АНО ""ЦИФРОВАЯ ЭКОНОМИКА""",7731384732,Г.МОСКВА,73.20.1,Исследование конъюнктуры рынка
142,"ООО ""ЦЕНТРКАСПНЕФТЕГАЗ""",7728297783,Г.МОСКВА,71.12.3,"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
143,"ГУП ""МОСКОВСКИЙ МЕТРОПОЛИТЕН""",7702038150,Г.МОСКВА,49.31.24,Деятельность метро по перевозке пассажиров
144,"ООО ""КМ-ОЙЛ""",7723686779,Г.МОСКВА,06.10.1,Добыча сырой нефти
145,"ООО ""РЫБАЛОВСКОЕ""",7723418868,Г.МОСКВА,71.12.3,"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
146,"ООО ""НПП ""НЕФТЕХИМИЯ""",7723332561,Г.Москва,20.16,Производство пластмасс и синтетических смол в первичных формах
147,"АО ""КУРЬЯНОВСКОЕ""",7723098657,Г.Москва,68.20.2,Аренда и управление собственным или арендованным нежилым недвижимым имуществом
148,"АО ""МГАО ПРОМЖЕЛДОРТРАНС""",7723015315,Г.МОСКВА,52.21.1,"Деятельность вспомогательная, связанная с железнодорожным транспортом"
149,"ООО ""АЕОН АГРО""",9704075070,Г.МОСКВА,01.50,Смешанное сельское хозяйство
150,"ООО ""ТМХ-ЭНЕРГЕТИЧЕСКИЕ РЕШЕНИЯ""",9704036610,Г.МОСКВА,46.90,Торговля оптовая неспециализированная
151,"ООО ""ЦБК ХОЛДИНГ""",9703090678,Г.Москва,64.20,Деятельность холдинговых компаний
152,"АО ""КОРПОРАЦИЯ ТУРИЗМ.РФ""",9703023632,Г.МОСКВА,64.99.3,"Капиталовложения в уставные капиталы, венчурное инвестирование, в том числе посредством инвестиционных компаний"
153,"АО ""ЦКБ ""ЛАЗУРИТ""",5263000105,НИЖЕГОРОДСКАЯ ОБЛАСТЬ,72.19,Научные исследования и разработки в области естественных и технических наук прочие
154,"ОАО ""РЖД""",7708503727,Г.МОСКВА,49.20,Деятельность железнодорожного транспорта: грузовые перевозки
155,"ООО ""ДЕЛО-ЦЕНТР""",7710279110,Г.МОСКВА,64.20,Деятельность холдинговых компаний
156,"ООО ""УК ""ГЖЕЛЬ""",5040092977,Московская область,70.10.2,Деятельность по управлению холдинг-компаниями
157,"ООО ""ОЗК ТРЕЙДИНГ""",2310170817,Ростовская область,46.21,"Торговля оптовая зерном, необработанным табаком, семенами и кормами для сельскохозяйственных животных"
158,"ООО ""Р-ФАРМ ИНТЕРНЕШНЛ""",7734406215,Г.Москва,72.11,Научные исследования и разработки в области биотехнологии
159,"АО ""ПЕРВЫЙ АВТОКОМБИНАТ"" ИМЕНИ Г.Л. КРАУЗЕ",7734032873,Г.Москва,49.4,Деятельность автомобильного грузового транспорта и услуги по перевозкам
160,"ООО ""ПРОМГАЗЭНЕРГО""",7733652666,Г.МОСКВА,06.10,Добыча сырой нефти и нефтяного (попутного) газа
161,"ОАО ""НИИАТ""",7733563381,Г.МОСКВА,72.19,Научные исследования и разработки в области естественных и технических наук прочие
162,"ООО ""ИНФИНИТИ""",7731531602,МОСКОВСКАЯ ОБЛАСТЬ,68.10.1,Подготовка к продаже собственного недвижимого имущества
163,МИНЗДРАВ РОССИИ,7707778246,МОСКВА ГОРОД,84.12,"Государственное регулирование деятельности в области здравоохранения, образования, социально-культурного развития и других социальных услуг, кроме социального обеспечения"
164,"АО ""ЕЭТП""",7707704692,Г.Москва,62.09,"Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая"
165,"ООО ""КР КУЗНЕЦКИЙ МОСТ""",7707664859,Г.МОСКВА,68.20,Аренда и управление собственным или арендованным недвижимым имуществом
166,"ООО ""БИЗНЕС-ЦЕНТР ""САЛЮТ""",7707629251,Г.МОСКВА,68.2,Аренда и управление собственным или арендованным недвижимым имуществом
167,"ПАО ""М.ВИДЕО""",7707602010,МОСКВА ГОРОД,70.10.1,Деятельность по управлению финансово-промышленными группами
168,"ЗПИФ недвижимости ""БизнесЭстейт""",7703523568,Г.Москва,66.3,Деятельность по управлению фондами
169,"ООО ""САМАРА-САКМАРСКИЙ""",9729132932,Г.МОСКВА,06.10.1,Добыча сырой нефти
170,"АО ""ТИЛТЕХ""",9729027864,Г.Москва,64.99.3,"Капиталовложения в уставные капиталы, венчурное инвестирование, в том числе посредством инвестиционных компаний"
171,"ООО ""Р-ФАРМ МТ""",9728056862,Г.Москва,46.69.8,"Торговля оптовая техникой, оборудованием и инструментами, применяемыми в медицинских целях"
172,"ООО ""Р-ФАРМ МС""",9728023049,Г.Москва,64.91,Деятельность по финансовой аренде (лизингу/сублизингу)
173,"АО ""ДОМ.РФ""",7729355614,Г.Москва,64.99,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
174,"ПАО ""ДЕТСКИЙ МИР""",7729355029,Г.МОСКВА,47.78.9,"Торговля розничная непродовольственными товарами, не включенными в другие группировки, в специализированных магазинах"
175,"АО ""ЦНИИ ""ЭЛЕКТРОНИКА""",7729033871,Г.МОСКВА,72.19,Научные исследования и разработки в области естественных и технических наук прочие
176,"ООО ""КРИОГАЗ-ВЫСОЦК""",7728863750,ЛЕНИНГРАДСКАЯ ОБЛАСТЬ,20.14.1,Производство углеводородов и их производных
