,Название,ИНН,Адрес,ОКВЭД,Деятельность
223,"АО ""РЖДСТРОЙ""",7708587205,Г.МОСКВА,43.12,Подготовка строительной площадки
224,"ООО ""БУЗУЛУКСКИЙ""",7708335776,Г.МОСКВА,06.10.1,Добыча сырой нефти
225,"ООО ""МАТЮШКИНСКИЙ УЧАСТОК""",7708326429,Г.МОСКВА,06.10.1,Добыча сырой нефти
226,"ООО ""ИЧИКТА""",7708326066,Г.МОСКВА,71.12.3,"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
227,"ООО ""КАЗАРКИНСКИЙ ВОСТОЧНЫЙ""",7708325640,Г.МОСКВА,71.12.3,"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
228,"ООО ""СЗ ""ЛЕГИС""",7730618956,Г.МОСКВА,41.20,Строительство жилых и нежилых зданий
229,"АО ""РОССПИРТПРОМ""",7730605160,Г.МОСКВА,11.01.4,Производство пищевого спирта
230,"ООО ""ОН-МЕДИА""",7730512340,Г.МОСКВА,60.20,Деятельность в области телевизионного вещания
231,"ООО ""УДАЧНЫЙ""",7730238866,Г.МОСКВА,06.10.1,Добыча сырой нефти
232,"ОПИФ РЫНОЧНЫХ ФИНАНСОВЫХ ИНСТРУМЕНТОВ ""РЕГИОН ФОНД СБАЛАНСИРОВННЫЙ""",7730149408,Г.Москва,64.99.1,Вложения в ценные бумаги
233,"ПАО ""ЭСЭФАЙ""",6164077483,Г.МОСКВА,64.20,Деятельность холдинговых компаний
234,"ГУП ""ЦУГИ""",7705059380,Г.МОСКВА,68.32,Управление недвижимым имуществом за вознаграждение или на договорной основе
235,"ООО ""НОВАПОРТ ХОЛДИНГ""",7704857789,Г.МОСКВА,52.23.11,Деятельность аэропортовая
236,"АО УК ""АЭРОПОРТЫ РЕГИОНОВ""",7705986635,Г.МОСКВА,52.23.11,Деятельность аэропортовая
237,ООО СБЕРЕЖЕНИЯ ПЛЮС,7722270922,Г.Москва,66.30,Деятельность по управлению фондами
238,"ООО ""МЕРКУРИЙ РИТЕЙЛ ХОЛДИНГ""",9703127582,Г.МОСКВА,64.2,Деятельность холдинговых компаний
239,"ООО ""ГПМ ПРОЕКТЫ""",7701736754,Г.Москва,64.99,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
240,"ООО ""НХТК""",7727344230,Г.Москва,52.29,"Деятельность вспомогательная прочая, связанная с перевозками"
241,"ООО ""НОВЫЕ ЦИФРОВЫЕ РЕШЕНИЯ""",7707415098,МОСКВА ГОРОД,61.2,Деятельность в области связи на базе беспроводных технологий
242,"АО ""НСК""",9703019883,Г.Москва,82.11,Деятельность административно-хозяйственная комплексная по обеспечению работы организации
243,"ООО ""ФБ""",9703013899,Г.МОСКВА,47.91.2,"Торговля розничная, осуществляемая непосредственно при помощи информационно-коммуникационной сети Интернет"
244,"ООО ""СФО СИТИ ИНВЕСТ 3""",9702045697,Г.МОСКВА,66.12.3,Деятельность эмиссионная
245,"ООО ""СФО СИТИ ИНВЕСТ 2""",9702045672,Г.Москва,66.12.3,Деятельность эмиссионная
246,"АО ""СФО СИТИ ИНВЕСТ 9""",9702045129,Г.Москва,66.12.3,Деятельность эмиссионная
247,"АО ""СФО СИТИ ИНВЕСТ 8""",9702045111,Г.Москва,66.12.3,Деятельность эмиссионная
248,"АО ""СФО СИТИ ИНВЕСТ 7""",9702045094,Г.Москва,66.12.3,Деятельность эмиссионная
249,"АО ""СФО СИТИ ИНВЕСТ 6""",9702045087,Г.Москва,66.12.3,Деятельность эмиссионная
250,"ООО ""СФО РАЗВИТИЯ БАЗОВЫХ ОТРАСЛЕЙ ПРОМЫШЛЕННОСТИ""",9702043604,Г.Москва,66.12.3,Деятельность эмиссионная
251,"ООО ""СФО СИТИ ИНВЕСТ""",9702039887,Г.Москва,66.12.3,Деятельность эмиссионная
252,"ООО ""СЕВЕРО-ШАПКИНСКИЙ""",7707391746,Г.МОСКВА,71.12.3,"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
