,Объект_1,ИНН_1,Адрес_1,ОКВЭД_1,ОКВЭД_ГЛАВ_1,Деятельность_1,Связь,Объект_2,ИНН_2,Адрес_2,ОКВЭД_2,ОКВЭД_ГЛАВ_2,Деятельность_2
0,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ВАГРАН""",7707113058,СВЕРДЛОВСКАЯ ОБЛАСТЬ,46.11,46,"Деятельность агентов по оптовой торговле сельскохозяйственным сырьем, живыми животными, текстильным сырьем и полуфабрикатами"
1,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ТЕХСЕРВИС""",2338012377,РОСТОВСКАЯ ОБЛАСТЬ,46.14.9,46,Деятельность агентов по оптовой торговле прочими видами машин и промышленным оборудованием
2,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ТАУРОВСКИЙ УЧАСТОК""",7719473305,Г.МОСКВА,06.10.1,06,Добыча сырой нефти
3,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""АГРОКОМПЛЕКС ""КАМЫШЕВАТСКИЙ""",2361010508,КРАСНОДАРСКИЙ КРАЙ,01.11.1,01,Выращивание зерновых культур
4,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ЕДИНЫЙ МЕДИЦИНСКИЙ ЦЕНТР""",7842416531,Г.Санкт-Петербург,86.21,86,Общая врачебная практика
5,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ТИМАНСКИЙ-1""",7714415081,Г.МОСКВА,71.12.3,71,"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
6,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ЮГАНСКИЙ 22""",9718075986,Г.МОСКВА,71.12.3,71,"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
7,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""МИЛЛЕНИАЛ""",7725823822,Г.МОСКВА,06.10,06,Добыча сырой нефти и нефтяного (попутного) газа
8,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,ФГУП ИГИ,7725008497,Г.Москва,72.19,72,Научные исследования и разработки в области естественных и технических наук прочие
9,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""КАЗИНО ФЛАМИНГО""",3664013475,ВОРОНЕЖСКАЯ ОБЛАСТЬ,68.20.2,68,Аренда и управление собственным или арендованным нежилым недвижимым имуществом
10,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ЕРБОГАЧЕНСКИЙ""",9718075601,Г.МОСКВА,71.12.3,71,"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
11,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ЛАБИНСКИЙ ЭЛЕВАТОР""",2314025200,КРАСНОДАРСКИЙ КРАЙ,52.10.3,52,Хранение и складирование зерна
12,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ПАКО""",7818002353,ЛЕНИНГРАДСКАЯ ОБЛАСТЬ,71.12,71,"Деятельность в области инженерных изысканий, инженерно-технического проектирования, управления проектами строительства, выполнения строительного контроля и авторского надзора, предоставление технических консультаций в этих областях"
13,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""МЕДВЕДЬ-1""",6168047095,РОСТОВСКАЯ ОБЛАСТЬ,68.20.2,68,Аренда и управление собственным или арендованным нежилым недвижимым имуществом
14,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ТД ""ВЭЛАН""",6164221031,РОСТОВСКАЯ ОБЛАСТЬ,46.69,46,Торговля оптовая прочими машинами и оборудованием
15,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ЮГАНСКИЙ 19""",7719434553,Г.МОСКВА,71.12.3,71,"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
16,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""АЛЬФА""",2338009705,КРАСНОДАРСКИЙ КРАЙ,68.20,68,Аренда и управление собственным или арендованным недвижимым имуществом
17,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""СЕВЕРО-МОИМСКОЕ""",7719430968,Г.МОСКВА,71.12.3,71,"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
18,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ФГУП ""ЗАВОД СИНТЕТИЧЕСКИХ ВОЛОКОН ""ЭЛАСТИК""",6225000890,Рязанская область,25.40,25,Производство оружия и боеприпасов
19,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО УНПЦ ""ЭКОЛОГИЯ""",1513054740,РЕСПУБЛИКА СЕВЕРНАЯ ОСЕТИЯ - АЛАНИЯ,71.20,71,"Технические испытания, исследования, анализ и сертификация"
20,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ЛОНГФОРД ИНВЕСТМЕНТС""",7702504869,Г.МОСКВА,68.20.2,68,Аренда и управление собственным или арендованным нежилым недвижимым имуществом
21,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""РАДАМАНТ""",7728864400,Г.МОСКВА,70.10.1,70,Деятельность по управлению финансово-промышленными группами
22,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ПУГАЧЁВСКИЙ""",9729134841,Г.МОСКВА,06.10.1,06,Добыча сырой нефти
23,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ФГУП ГПИ И НИИ ГА ""АЭРОПРОЕКТ""",7712037050,Г.МОСКВА,71.12.1,71,"Деятельность, связанная с инженерно-техническим проектированием, управлением проектами строительства, выполнением строительного контроля и авторского надзора"
24,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""АГРОКОМПЛЕКС ""ЕЙСКИЙ""",2361011438,КРАСНОДАРСКИЙ КРАЙ,01.11.1,01,Выращивание зерновых культур
25,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""АЙКАЕГАНСКОЕ""",7707355353,Г.МОСКВА,71.12.3,71,"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
26,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ЮКАТЕКС-ЮГРА""",8606014729,ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА,09.10.9,09,Предоставление прочих услуг в области добычи нефти и природного газа
27,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""БИНШТОКОВСКИЙ""",7722350751,Г.МОСКВА,71.12.3,71,"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
28,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ЭДЕЛЬВЕЙС""",7710571080,РОСТОВСКАЯ ОБЛАСТЬ,63.99.1,63,Деятельность по оказанию консультационных и информационных услуг
29,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ЮКАТЕКС ОЙЛ""",1106025991,РЕСПУБЛИКА КОМИ,09.10.9,09,Предоставление прочих услуг в области добычи нефти и природного газа
30,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ЗАПАДНО-МУЛТАНОВСКИЙ""",7716812415,Г.МОСКВА,71.12.3,71,"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
31,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ЮГАНСКИЙ 21""",9701027127,Г.МОСКВА,71.12.3,71,"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
32,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""РЕГИОН-СЕРВИС""",7813125859,Г.Санкт-Петербург,33.12,33,Ремонт машин и оборудования
33,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""АФ ""МОСТОВСКАЯ""",2342019375,КРАСНОДАРСКИЙ КРАЙ,01.1,01,Выращивание однолетних культур
34,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ЮГ ДЕВЕЛОПМЕНТ""",7726583210,Г.МОСКВА,68.20.2,68,Аренда и управление собственным или арендованным нежилым недвижимым имуществом
35,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ВОСТОЧНО-ТАЛОВЫЙ""",9701086370,Г.МОСКВА,06.10.1,06,Добыча сырой нефти
36,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО АФ ""ОТРАДНЕНСКАЯ""",2372000830,КРАСНОДАРСКИЙ КРАЙ,01.1,01,Выращивание однолетних культур
37,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""АГРОФИРМА ""БУРАКОВСКАЯ""",2335000084,КРАСНОДАРСКИЙ КРАЙ,01.11.1,01,Выращивание зерновых культур
38,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""НЕБУГ""",6163074296,КРАСНОДАРСКИЙ КРАЙ,86.90.4,86,Деятельность санаторно-курортных организаций
39,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ТАУРОВСКОЕ""",9729156958,Г.МОСКВА,06.10.1,06,Добыча сырой нефти
40,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""КМ-ОЙЛ""",7723686779,Г.МОСКВА,06.10.1,06,Добыча сырой нефти
41,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""КОМПАНЬОН""",2357007100,КРАСНОДАРСКИЙ КРАЙ,46.75,46,Торговля оптовая химическими продуктами
42,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ФГУП ""НИИПА""",5010007607,МОСКОВСКАЯ ОБЛАСТЬ,72.19,72,Научные исследования и разработки в области естественных и технических наук прочие
43,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""МОЛОДЁЖНОЕ""",7718285154,Г.МОСКВА,71.12.3,71,"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
44,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ТД ""КАНЕВСКИЕ КОЛБАСЫ""",2334022416,КРАСНОДАРСКИЙ КРАЙ,47.22.1,47,"Торговля розничная мясом и мясом птицы, включая субпродукты в специализированных магазинах"
45,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ЮГАНСКИЙ 16""",7718289568,Г.МОСКВА,71.12.3,71,"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
46,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"АО ""ЗАРУБЕЖНЕФТЬ""",7701350084,Г.МОСКВА,06.10.1,06,Добыча сырой нефти
47,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""МАЛОАТЛЫМСКОЕ""",9715228923,Г.МОСКВА,71.12.3,71,"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
48,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ФГУП ""НИИФООЛИОС ВНЦ ""ГОИ ИМ. С.И. ВАВИЛОВА""",7801031476,САНКТ-ПЕТЕРБУРГ ГОРОД,72.19,72,Научные исследования и разработки в области естественных и технических наук прочие
49,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""КУБАНЬАГРО-2010""",2340131928,КРАСНОДАРСКИЙ КРАЙ,01.1,01,Выращивание однолетних культур
50,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ЕДИНЫЙ МИГРАЦИОННЫЙ ЦЕНТР""",7842421041,Г.САНКТ-ПЕТЕРБУРГ,78.30,78,Деятельность по подбору персонала прочая
51,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ИМПУЛЬС""",2340014501,КРАСНОДАРСКИЙ КРАЙ,01.46,01,Разведение свиней
52,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""БЕЛЫЙ""",9718075552,Г.МОСКВА,71.12.3,71,"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
53,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""АВАНТАЖ""",2334021317,РОСТОВСКАЯ ОБЛАСТЬ,46.21,46,"Торговля оптовая зерном, необработанным табаком, семенами и кормами для сельскохозяйственных животных"
54,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ТД ЗАО ""ПЗ ""ВОЛЯ""",2334018603,КРАСНОДАРСКИЙ КРАЙ,47.1,47,Торговля розничная в неспециализированных магазинах
55,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ВЭЛАН""",6166081929,СТАВРОПОЛЬСКИЙ КРАЙ,46.69,46,Торговля оптовая прочими машинами и оборудованием
56,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""АГРОКОМПЛЕКС ЛАБИНСКИЙ""",2314017030,КРАСНОДАРСКИЙ КРАЙ,68.20,68,Аренда и управление собственным или арендованным недвижимым имуществом
57,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""НОВЫЕ ТЕХНОЛОГИИ""",6163086140,РОСТОВСКАЯ ОБЛАСТЬ,46.36.1,46,Торговля оптовая сахаром
58,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ОКТЯБРЬСКОЕ""",7718285073,Г.МОСКВА,71.12.3,71,"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
59,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО""ЛАЗУРИТ""",2342019142,КРАСНОДАРСКИЙ КРАЙ,46.21.1,46,"Торговля оптовая зерном, семенами и кормами для животных"
60,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО НПП ""СИЛИКА""",2505014432,ПРИМОРСКИЙ КРАЙ,20.13,20,Производство прочих основных неорганических химических веществ
61,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""БУШКОВСКОЕ""",7709477452,Г.МОСКВА,71.12.3,71,"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
62,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""АГРОХОЛДИНГ""",2334021412,КРАСНОДАРСКИЙ КРАЙ,01.11.1,01,Выращивание зерновых культур
63,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""СТК ""ФИНТЕХЛАЙН""",7728235265,Г.МОСКВА,68.20,68,Аренда и управление собственным или арендованным недвижимым имуществом
64,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""АБАЗАРОВСКОЕ""",9701020989,Г.МОСКВА,71.12.3,71,"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
65,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ИНВЕСТСОВТЕХ""",7710566869,Г.МОСКВА,68.20.2,68,Аренда и управление собственным или арендованным нежилым недвижимым имуществом
66,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""РЕНТА ПЛЮС""",6168022630,РОСТОВСКАЯ ОБЛАСТЬ,68.2,68,Аренда и управление собственным или арендованным недвижимым имуществом
67,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"АО ""РОССПИРТПРОМ""",7730605160,Г.МОСКВА,11.01.4,11,Производство пищевого спирта
68,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО "" АК ПОКРОВСКИЙ """,2362000333,КРАСНОДАРСКИЙ КРАЙ,46.21.11,46,Торговля оптовая зерном
69,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ПРОММАШ""",2310183527,КРАСНОДАРСКИЙ КРАЙ,46.14.9,46,Деятельность агентов по оптовой торговле прочими видами машин и промышленным оборудованием
70,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""КУРГАНИНСКАГРО""",2339018075,КРАСНОДАРСКИЙ КРАЙ,01.11.1,01,Выращивание зерновых культур
71,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""БОРЕЙ""",2340011518,КРАСНОДАРСКИЙ КРАЙ,01.1,01,Выращивание однолетних культур
72,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""КАМЕНСКИЙ""",7708325496,Г.МОСКВА,06.10.1,06,Добыча сырой нефти
73,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ГЛЕДЕН ИНВЕСТ""",7704684952,Г.МОСКВА,68.20,68,Аренда и управление собственным или арендованным недвижимым имуществом
74,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ВЗТМ""",3435084932,ВОЛГОГРАДСКАЯ ОБЛАСТЬ,13.99.9,13,"Производство текстильных изделий различного назначения, не включенных в другие группировки"
75,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""СЕВЕРО-ШАПКИНСКИЙ""",7707391746,Г.МОСКВА,71.12.3,71,"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
76,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""КР КУЗНЕЦКИЙ МОСТ""",7707664859,Г.МОСКВА,68.20,68,Аренда и управление собственным или арендованным недвижимым имуществом
77,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""УНИВЕРСАЛ""",2338008733,КРАСНОДАРСКИЙ КРАЙ,68.20,68,Аренда и управление собственным или арендованным недвижимым имуществом
78,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""АНДОРЭЙ-ИНВЕСТ""",7704563965,Г.МОСКВА,68.20,68,Аренда и управление собственным или арендованным недвижимым имуществом
79,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""МЕРИДИАН""",7802451547,Г.МОСКВА,06.10.1,06,Добыча сырой нефти
80,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""КОР МЕНЕДЖМЕНТ""",7704418069,Г.МОСКВА,71.12,71,"Деятельность в области инженерных изысканий, инженерно-технического проектирования, управления проектами строительства, выполнения строительного контроля и авторского надзора, предоставление технических консультаций в этих областях"
81,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"АО ""КМКР""",2626003072,Ставропольский край,71.12.3,71,"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
82,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ФГУП ""ВНИИХСЗР""",7723013389,Г.МОСКВА,72.19,72,Научные исследования и разработки в области естественных и технических наук прочие
83,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ВАТИ-АВТО""",3435133516,ВОЛГОГРАДСКАЯ ОБЛАСТЬ,23.99,23,"Производство прочей неметаллической минеральной продукции, не включенной в другие группировки"
84,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ЮЖНО-УХТИНСКИЙ""",9718075136,Г.МОСКВА,71.12.3,71,"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
85,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""УДАЧНЫЙ""",7730238866,Г.МОСКВА,06.10.1,06,Добыча сырой нефти
86,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""МУЛТАНОВСКИЙ""",7728378545,Г.МОСКВА,06.10.1,06,Добыча сырой нефти
87,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""КИРЕНСКИЙ""",7728379041,Г.МОСКВА,71.12.3,71,"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
88,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""АФ ""УРОЖАЙНАЯ""",2361009220,КРАСНОДАРСКИЙ КРАЙ,68.20,68,Аренда и управление собственным или арендованным недвижимым имуществом
89,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""СТАРОЩЕРБИНОВСКИЙ ЭЛЕВАТОР""",2358007495,Краснодарский край,46.21,46,"Торговля оптовая зерном, необработанным табаком, семенами и кормами для сельскохозяйственных животных"
90,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""КОЛБАСЫ КУБАНИ""",6168017679,РОСТОВСКАЯ ОБЛАСТЬ,46.32.2,46,Торговля оптовая продуктами из мяса и мяса птицы
91,РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ТД ""СИГМА""",2334026192,РОСТОВСКАЯ ОБЛАСТЬ,46.21.11,46,Торговля оптовая зерном
