,Объект_1,ИНН_1,Адрес_1,ОКВЭД_1,ОКВЭД_ГЛАВ_1,Деятельность_1,Связь,Объект_2,ИНН_2,Адрес_2,ОКВЭД_2,ОКВЭД_ГЛАВ_2,Деятельность_2
852,"ЗАО ""ПРСД""",7710198911,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ИПИФ акций ""ОПЛОТ - Металлургия""",7825481139,Г.Москва,66.3,66,Деятельность по управлению фондами
853,"ЗАО ""ПРСД""",7710198911,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИФ комбинированный ""РВМ Новосаратовка-Девелопмент""",7722563196,Г.Москва,66.30.1,66,Управление инвестиционными фондами
854,"ЗАО ""ПРСД""",7710198911,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИФ комбинированный ""Жилая недвижимость""",7704366195,Г.Москва,66.3,66,Деятельность по управлению фондами
855,"ЗАО ""ПРСД""",7710198911,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ОПИФ рыночных финансовых инструментов ""Сберегательный""",7825680984,Г.Москва,66.12.2,66,Деятельность по управлению ценными бумагами
856,"ЗАО ""ПРСД""",7710198911,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ОПИФ рыночных финансовых инструментов ""Титан""",7825481139,Г.Москва,66.3,66,Деятельность по управлению фондами
857,"ЗАО ""ПРСД""",7710198911,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИФ недвижимости ""Солнечный город""",7715648191,Г.Москва,64.99.1,64,Вложения в ценные бумаги
858,"ЗАО ""ПРСД""",7710198911,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИФ недвижимости ""Флагман""",2309084747,КРАСНОДАРСКИЙ КРАЙ,64.99,64,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
859,"ЗАО ""ПРСД""",7710198911,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИФ недвижимости ""Анапский капитал""",2309084747,КРАСНОДАРСКИЙ КРАЙ,64.99,64,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
860,"ЗАО ""ПРСД""",7710198911,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИФ рентный ""Аграрный""",5029144685,Республика Башкортостан,66.30,66,Деятельность по управлению фондами
861,"ЗАО ""ПРСД""",7710198911,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИФ недвижимости ""Первобанк - Недвижимость""",7718218817,Г.Москва,66.30,66,Деятельность по управлению фондами
862,"ЗАО ""ПРСД""",7710198911,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИФ недвижимости ""Траст Девелопмент Второй""",9715010155,Г.Москва,66.30,66,Деятельность по управлению фондами
863,"ЗАО ""ПРСД""",7710198911,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ОПИФ рыночных финансовых инструментов ""Сбалансированный"".",7825680984,Г.Москва,66.12.2,66,Деятельность по управлению ценными бумагами
864,"ЗАО ""ПРСД""",7710198911,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ОПИФ рыночных финансовых инструментов ""Финансист""",7825481139,Г.Москва,66.3,66,Деятельность по управлению фондами
865,"ЗАО ""ПРСД""",7710198911,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ОПИФ рыночных финансовых инструментов ""СТОИК""",7825481139,Г.Москва,66.3,66,Деятельность по управлению фондами
866,"ЗАО ""ПРСД""",7710198911,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИФ НЕДВИЖИМОСТИ ""ПОКРОВСКИЙ""",2309084747,КРАСНОДАРСКИЙ КРАЙ,64.99,64,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
867,"ЗАО ""ПРСД""",7710198911,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИФ КОМБИНИРОВАННЫЙ ""ЕВРОПЕЙСКИЕ ПРЕДМЕСТЬЯ""",7806138649,Г.Санкт-Петербург,66.30.1,66,Управление инвестиционными фондами
868,"ЗАО ""ПРСД""",7710198911,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИ комбинированный фонд ""Центральный""",7701140866,Г.Москва,66.30,66,Деятельность по управлению фондами
869,"ЗАО ""ПРСД""",7710198911,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИФ рентный ""Коммерческая недвижимость""",6316130695,Самарская область,66.12.2,66,Деятельность по управлению ценными бумагами
870,"ЗАО ""ПРСД""",7710198911,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИФ недвижимости ""БизнесЭстейт""",7703523568,Г.Москва,66.3,66,Деятельность по управлению фондами
871,"ЗАО ""ПРСД""",7710198911,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИФ кредитный ""Кубанский капитал""",2309084747,КРАСНОДАРСКИЙ КРАЙ,64.99,64,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
872,"ЗАО ""ПРСД""",7710198911,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"Рентный ЗПИФ ""Земельные ресурсы""",7718218817,Г.Москва,66.30,66,Деятельность по управлению фондами
873,"ЗАО ""ПРСД""",7710198911,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИФ недвижимости ""Квадратный метр""",5029144685,Республика Башкортостан,66.30,66,Деятельность по управлению фондами
874,"ЗАО ""ПРСД""",7710198911,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ОПИФ акций ""ОПЛОТ - Альтернативная энергетика""",7825481139,Г.Москва,66.3,66,Деятельность по управлению фондами
875,"ЗАО ""ПРСД""",7710198911,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИФ недвижимости ""Екатерининский""",2309084747,КРАСНОДАРСКИЙ КРАЙ,64.99,64,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
876,"ЗАО ""ПРСД""",7710198911,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИФ недвижимости ""Кольчуга""",7715648191,Г.Москва,64.99.1,64,Вложения в ценные бумаги
877,"ЗАО ""ПРСД""",7710198911,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"Рентный ЗПИФ ""Региональная недвижимость""",7718218817,Г.Москва,66.30,66,Деятельность по управлению фондами
878,"ЗАО ""ПРСД""",7710198911,Г.Москва,64.99.7,64,"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов",Высокая,"ЗПИФ недвижимости ""Новосаратовка-Девелопмент""",7806138649,Г.Санкт-Петербург,66.30.1,66,Управление инвестиционными фондами
