Объект_1,ИНН_1,Адрес_1,ОКВЭД_1,ОКВЭД_ГЛАВ_1,Раздел_1,Деятельность_раздел_1,Деятельность_1,Связь,Объект_2,ИНН_2,Адрес_2,ОКВЭД_2,ОКВЭД_ГЛАВ_2,Раздел_2,Деятельность_раздел_2,Деятельность_2
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ВАГРАН""",7707113058,СВЕРДЛОВСКАЯ ОБЛАСТЬ,46.11,46,G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,"Деятельность агентов по оптовой торговле сельскохозяйственным сырьем, живыми животными, текстильным сырьем и полуфабрикатами"
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ТЕХСЕРВИС""",2338012377,РОСТОВСКАЯ ОБЛАСТЬ,46.14.9,46,G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,Деятельность агентов по оптовой торговле прочими видами машин и промышленным оборудованием
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ТАУРОВСКИЙ УЧАСТОК""",7719473305,Г.МОСКВА,06.10.1,06,B,Добыча полезных ископаемых,Добыча сырой нефти
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""АГРОКОМПЛЕКС ""КАМЫШЕВАТСКИЙ""",2361010508,КРАСНОДАРСКИЙ КРАЙ,01.11.1,01,A,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",Выращивание зерновых культур
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ЕДИНЫЙ МЕДИЦИНСКИЙ ЦЕНТР""",7842416531,Г.Санкт-Петербург,86.21,86,Q,Деятельность в области здравоохранения и социальных услуг,Общая врачебная практика
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ТИМАНСКИЙ-1""",7714415081,Г.МОСКВА,71.12.3,71,M,"Деятельность профессиональная, научная и техническая","Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ЮГАНСКИЙ 22""",9718075986,Г.МОСКВА,71.12.3,71,M,"Деятельность профессиональная, научная и техническая","Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""МИЛЛЕНИАЛ""",7725823822,Г.МОСКВА,06.10,06,B,Добыча полезных ископаемых,Добыча сырой нефти и нефтяного (попутного) газа
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,ФГУП ИГИ,7725008497,Г.Москва,72.19,72,M,"Деятельность профессиональная, научная и техническая",Научные исследования и разработки в области естественных и технических наук прочие
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""КАЗИНО ФЛАМИНГО""",3664013475,ВОРОНЕЖСКАЯ ОБЛАСТЬ,68.20.2,68,L,Деятельность по операциям с недвижимым имуществом,Аренда и управление собственным или арендованным нежилым недвижимым имуществом
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ЕРБОГАЧЕНСКИЙ""",9718075601,Г.МОСКВА,71.12.3,71,M,"Деятельность профессиональная, научная и техническая","Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ЛАБИНСКИЙ ЭЛЕВАТОР""",2314025200,КРАСНОДАРСКИЙ КРАЙ,52.10.3,52,H,Транспортировка и хранение,Хранение и складирование зерна
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ПАКО""",7818002353,ЛЕНИНГРАДСКАЯ ОБЛАСТЬ,71.12,71,M,"Деятельность профессиональная, научная и техническая","Деятельность в области инженерных изысканий, инженерно-технического проектирования, управления проектами строительства, выполнения строительного контроля и авторского надзора, предоставление технических консультаций в этих областях"
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""МЕДВЕДЬ-1""",6168047095,РОСТОВСКАЯ ОБЛАСТЬ,68.20.2,68,L,Деятельность по операциям с недвижимым имуществом,Аренда и управление собственным или арендованным нежилым недвижимым имуществом
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ТД ""ВЭЛАН""",6164221031,РОСТОВСКАЯ ОБЛАСТЬ,46.69,46,G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,Торговля оптовая прочими машинами и оборудованием
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ЮГАНСКИЙ 19""",7719434553,Г.МОСКВА,71.12.3,71,M,"Деятельность профессиональная, научная и техническая","Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""АЛЬФА""",2338009705,КРАСНОДАРСКИЙ КРАЙ,68.20,68,L,Деятельность по операциям с недвижимым имуществом,Аренда и управление собственным или арендованным недвижимым имуществом
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""СЕВЕРО-МОИМСКОЕ""",7719430968,Г.МОСКВА,71.12.3,71,M,"Деятельность профессиональная, научная и техническая","Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ФГУП ""ЗАВОД СИНТЕТИЧЕСКИХ ВОЛОКОН ""ЭЛАСТИК""",6225000890,Рязанская область,25.40,25,C,Обрабатывающие производства,Производство оружия и боеприпасов
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО УНПЦ ""ЭКОЛОГИЯ""",1513054740,РЕСПУБЛИКА СЕВЕРНАЯ ОСЕТИЯ - АЛАНИЯ,71.20,71,M,"Деятельность профессиональная, научная и техническая","Технические испытания, исследования, анализ и сертификация"
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ЛОНГФОРД ИНВЕСТМЕНТС""",7702504869,Г.МОСКВА,68.20.2,68,L,Деятельность по операциям с недвижимым имуществом,Аренда и управление собственным или арендованным нежилым недвижимым имуществом
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""РАДАМАНТ""",7728864400,Г.МОСКВА,70.10.1,70,M,"Деятельность профессиональная, научная и техническая",Деятельность по управлению финансово-промышленными группами
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ПУГАЧЁВСКИЙ""",9729134841,Г.МОСКВА,06.10.1,06,B,Добыча полезных ископаемых,Добыча сырой нефти
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ФГУП ГПИ И НИИ ГА ""АЭРОПРОЕКТ""",7712037050,Г.МОСКВА,71.12.1,71,M,"Деятельность профессиональная, научная и техническая","Деятельность, связанная с инженерно-техническим проектированием, управлением проектами строительства, выполнением строительного контроля и авторского надзора"
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""АГРОКОМПЛЕКС ""ЕЙСКИЙ""",2361011438,КРАСНОДАРСКИЙ КРАЙ,01.11.1,01,A,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",Выращивание зерновых культур
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""АЙКАЕГАНСКОЕ""",7707355353,Г.МОСКВА,71.12.3,71,M,"Деятельность профессиональная, научная и техническая","Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ЮКАТЕКС-ЮГРА""",8606014729,ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА,09.10.9,09,B,Добыча полезных ископаемых,Предоставление прочих услуг в области добычи нефти и природного газа
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""БИНШТОКОВСКИЙ""",7722350751,Г.МОСКВА,71.12.3,71,M,"Деятельность профессиональная, научная и техническая","Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ЭДЕЛЬВЕЙС""",7710571080,РОСТОВСКАЯ ОБЛАСТЬ,63.99.1,63,J,Деятельность в области информации и связи,Деятельность по оказанию консультационных и информационных услуг
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ЮКАТЕКС ОЙЛ""",1106025991,РЕСПУБЛИКА КОМИ,09.10.9,09,B,Добыча полезных ископаемых,Предоставление прочих услуг в области добычи нефти и природного газа
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ЗАПАДНО-МУЛТАНОВСКИЙ""",7716812415,Г.МОСКВА,71.12.3,71,M,"Деятельность профессиональная, научная и техническая","Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ЮГАНСКИЙ 21""",9701027127,Г.МОСКВА,71.12.3,71,M,"Деятельность профессиональная, научная и техническая","Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""РЕГИОН-СЕРВИС""",7813125859,Г.Санкт-Петербург,33.12,33,C,Обрабатывающие производства,Ремонт машин и оборудования
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""АФ ""МОСТОВСКАЯ""",2342019375,КРАСНОДАРСКИЙ КРАЙ,01.1,01,A,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",Выращивание однолетних культур
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ЮГ ДЕВЕЛОПМЕНТ""",7726583210,Г.МОСКВА,68.20.2,68,L,Деятельность по операциям с недвижимым имуществом,Аренда и управление собственным или арендованным нежилым недвижимым имуществом
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ВОСТОЧНО-ТАЛОВЫЙ""",9701086370,Г.МОСКВА,06.10.1,06,B,Добыча полезных ископаемых,Добыча сырой нефти
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО АФ ""ОТРАДНЕНСКАЯ""",2372000830,КРАСНОДАРСКИЙ КРАЙ,01.1,01,A,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",Выращивание однолетних культур
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""АГРОФИРМА ""БУРАКОВСКАЯ""",2335000084,КРАСНОДАРСКИЙ КРАЙ,01.11.1,01,A,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",Выращивание зерновых культур
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""НЕБУГ""",6163074296,КРАСНОДАРСКИЙ КРАЙ,86.90.4,86,Q,Деятельность в области здравоохранения и социальных услуг,Деятельность санаторно-курортных организаций
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ТАУРОВСКОЕ""",9729156958,Г.МОСКВА,06.10.1,06,B,Добыча полезных ископаемых,Добыча сырой нефти
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""КМ-ОЙЛ""",7723686779,Г.МОСКВА,06.10.1,06,B,Добыча полезных ископаемых,Добыча сырой нефти
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""КОМПАНЬОН""",2357007100,КРАСНОДАРСКИЙ КРАЙ,46.75,46,G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,Торговля оптовая химическими продуктами
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ФГУП ""НИИПА""",5010007607,МОСКОВСКАЯ ОБЛАСТЬ,72.19,72,M,"Деятельность профессиональная, научная и техническая",Научные исследования и разработки в области естественных и технических наук прочие
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""МОЛОДЁЖНОЕ""",7718285154,Г.МОСКВА,71.12.3,71,M,"Деятельность профессиональная, научная и техническая","Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ТД ""КАНЕВСКИЕ КОЛБАСЫ""",2334022416,КРАСНОДАРСКИЙ КРАЙ,47.22.1,47,G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,"Торговля розничная мясом и мясом птицы, включая субпродукты в специализированных магазинах"
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ЮГАНСКИЙ 16""",7718289568,Г.МОСКВА,71.12.3,71,M,"Деятельность профессиональная, научная и техническая","Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"АО ""ЗАРУБЕЖНЕФТЬ""",7701350084,Г.МОСКВА,06.10.1,06,B,Добыча полезных ископаемых,Добыча сырой нефти
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""МАЛОАТЛЫМСКОЕ""",9715228923,Г.МОСКВА,71.12.3,71,M,"Деятельность профессиональная, научная и техническая","Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ФГУП ""НИИФООЛИОС ВНЦ ""ГОИ ИМ. С.И. ВАВИЛОВА""",7801031476,САНКТ-ПЕТЕРБУРГ ГОРОД,72.19,72,M,"Деятельность профессиональная, научная и техническая",Научные исследования и разработки в области естественных и технических наук прочие
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""КУБАНЬАГРО-2010""",2340131928,КРАСНОДАРСКИЙ КРАЙ,01.1,01,A,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",Выращивание однолетних культур
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ЕДИНЫЙ МИГРАЦИОННЫЙ ЦЕНТР""",7842421041,Г.САНКТ-ПЕТЕРБУРГ,78.30,78,N,Деятельность административная и сопутствующие дополнительные услуги,Деятельность по подбору персонала прочая
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ИМПУЛЬС""",2340014501,КРАСНОДАРСКИЙ КРАЙ,01.46,01,A,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",Разведение свиней
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""БЕЛЫЙ""",9718075552,Г.МОСКВА,71.12.3,71,M,"Деятельность профессиональная, научная и техническая","Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""АВАНТАЖ""",2334021317,РОСТОВСКАЯ ОБЛАСТЬ,46.21,46,G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,"Торговля оптовая зерном, необработанным табаком, семенами и кормами для сельскохозяйственных животных"
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ТД ЗАО ""ПЗ ""ВОЛЯ""",2334018603,КРАСНОДАРСКИЙ КРАЙ,47.1,47,G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,Торговля розничная в неспециализированных магазинах
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ВЭЛАН""",6166081929,СТАВРОПОЛЬСКИЙ КРАЙ,46.69,46,G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,Торговля оптовая прочими машинами и оборудованием
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""АГРОКОМПЛЕКС ЛАБИНСКИЙ""",2314017030,КРАСНОДАРСКИЙ КРАЙ,68.20,68,L,Деятельность по операциям с недвижимым имуществом,Аренда и управление собственным или арендованным недвижимым имуществом
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""НОВЫЕ ТЕХНОЛОГИИ""",6163086140,РОСТОВСКАЯ ОБЛАСТЬ,46.36.1,46,G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,Торговля оптовая сахаром
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""ОКТЯБРЬСКОЕ""",7718285073,Г.МОСКВА,71.12.3,71,M,"Деятельность профессиональная, научная и техническая","Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО""ЛАЗУРИТ""",2342019142,КРАСНОДАРСКИЙ КРАЙ,46.21.1,46,G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,"Торговля оптовая зерном, семенами и кормами для животных"
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО НПП ""СИЛИКА""",2505014432,ПРИМОРСКИЙ КРАЙ,20.13,20,C,Обрабатывающие производства,Производство прочих основных неорганических химических веществ
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""БУШКОВСКОЕ""",7709477452,Г.МОСКВА,71.12.3,71,M,"Деятельность профессиональная, научная и техническая","Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы"
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""АГРОХОЛДИНГ""",2334021412,КРАСНОДАРСКИЙ КРАЙ,01.11.1,01,A,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",Выращивание зерновых культур
РОСИМУЩЕСТВО,7710723134,МОСКВА ГОРОД,84.11.8,84,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,"Управление имуществом, находящимся в государственной собственности",Высокая,"ООО ""СТК ""ФИНТЕХЛАЙН""",7728235265,Г.МОСКВА,68.20,68,L,Деятельность по операциям с недвижимым имуществом,Аренда и управление собственным или арендованным недвижимым имуществом
