Объект_1,ИНН_1,Адрес_1,ОКВЭД_1,ОКВЭД_ГЛАВ_1,Раздел_1,Деятельность_раздел_1,Деятельность_1,Связь,Объект_2,ИНН_2,Адрес_2,ОКВЭД_2,ОКВЭД_ГЛАВ_2,Раздел_2,Деятельность_раздел_2,Деятельность_2
"АО ""ГАЗСТРОЙПРОМ""",7842155505,Г.САНКТ-ПЕТЕРБУРГ,71.12.2,71,M,"Деятельность профессиональная, научная и техническая","Деятельность заказчика-застройщика, генерального подрядчика",Высокая,"ООО ""ГСП-ИНВЕСТИЦИИ""",7810797852,Г.САНКТ-ПЕТЕРБУРГ,64.99.1,64,K,Деятельность финансовая и страховая,Вложения в ценные бумаги
"ООО ""ЦЕНТРГАЗЭНЕРГОРЕМОНТ""",5050048663,МОСКОВСКАЯ ОБЛАСТЬ,33.12,33,C,Обрабатывающие производства,Ремонт машин и оборудования,Высокая,"АО ""ГАЗСТРОЙПРОМ""",7842155505,Г.САНКТ-ПЕТЕРБУРГ,71.12.2,71,M,"Деятельность профессиональная, научная и техническая","Деятельность заказчика-застройщика, генерального подрядчика"
"АО ""РОСХИМ""",7716953328,Г.Москва,46.75.2,46,G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,Торговля оптовая промышленными химикатами,Высокая,"АО ""СЗ""",9106001900,Республика Крым,20.13,20,C,Обрабатывающие производства,Производство прочих основных неорганических химических веществ
"ООО ""АУРА-МЕДИА""",7730517394,Г.Москва,59.11,59,J,Деятельность в области информации и связи,"Производство кинофильмов, видеофильмов и телевизионных программ",Высокая,"ООО ""ГПМ ПРОЕКТЫ""",7701736754,Г.Москва,64.99,64,K,Деятельность финансовая и страховая,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки"
"ООО""ГАЗПРОМ ЦЕНТРРЕМОНТ""",5050073540,МОСКОВСКАЯ ОБЛАСТЬ,70.10.1,70,M,"Деятельность профессиональная, научная и техническая",Деятельность по управлению финансово-промышленными группами,Высокая,"ООО ""ЦЕНТРГАЗЭНЕРГОРЕМОНТ""",5050048663,МОСКОВСКАЯ ОБЛАСТЬ,33.12,33,C,Обрабатывающие производства,Ремонт машин и оборудования
"ООО ""ГСП-ИНВЕСТИЦИИ""",7810797852,Г.САНКТ-ПЕТЕРБУРГ,64.99.1,64,K,Деятельность финансовая и страховая,Вложения в ценные бумаги,Высокая,"ООО ""ПРОФИНДУСТРИЯ-ЦЕНТР""",7709629271,Г.МОСКВА,46.69,46,G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,Торговля оптовая прочими машинами и оборудованием
"ООО ""ГАЗПРОМ МЕЖРЕГИОНГАЗ""",5003021311,Г.САНКТ-ПЕТЕРБУРГ,46.71,46,G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,"Торговля оптовая твердым, жидким и газообразным топливом и подобными продуктами",Высокая,"ООО ""ОПЕРАТОР ГАЗПРОМ ИД""",7743228142,Г.САНКТ-ПЕТЕРБУРГ,62.09,62,J,Деятельность в области информации и связи,"Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая"
"ООО ""ОПЕРАТОР ГАЗПРОМ ИД""",7743228142,Г.САНКТ-ПЕТЕРБУРГ,62.09,62,J,Деятельность в области информации и связи,"Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая",Высокая,"ООО ""ЭЛИОН""",7703504269,МОСКВА ГОРОД,64.99.1,64,K,Деятельность финансовая и страховая,Вложения в ценные бумаги
"ООО ""ГАЗПРОМ КАПИТАЛ""",7726588547,Г.САНКТ-ПЕТЕРБУРГ,64.99.1,64,K,Деятельность финансовая и страховая,Вложения в ценные бумаги,Высокая,"АО ""ДРАГА""",7704011964,Г.САНКТ-ПЕТЕРБУРГ,66.11.3,66,K,Деятельность финансовая и страховая,Деятельность регистраторов по ведению реестра владельцев ценных бумаг
"ООО ""ГПМ ПРОЕКТЫ""",7701736754,Г.Москва,64.99,64,K,Деятельность финансовая и страховая,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки",Высокая,"ООО ""ОПЕРАТОР ГАЗПРОМ ИД""",7743228142,Г.САНКТ-ПЕТЕРБУРГ,62.09,62,J,Деятельность в области информации и связи,"Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая"
